DATE,ITNETUSERP2USA
1990-01-01,0.784728502
1991-01-01,1.163193726
1992-01-01,1.724202539
1993-01-01,2.271673294
1994-01-01,4.862780635
1995-01-01,9.237088297
1996-01-01,16.41935296
1997-01-01,21.61640097
1998-01-01,30.09319659
1999-01-01,35.84872446
2000-01-01,43.0791626375201
2001-01-01,49.0808315896951
2002-01-01,58.7854038836952
2003-01-01,61.6971171244207
2004-01-01,64.7582564759896
2005-01-01,67.968052915002
2006-01-01,68.9311932699721
2007-01-01,75.0
2008-01-01,74.0
2009-01-01,71.0
2010-01-01,71.69
2011-01-01,69.7294607619268
2012-01-01,74.7
2013-01-01,71.4
2014-01-01,73.0
2015-01-01,74.5542024462761
2016-01-01,85.5444212887222
2017-01-01,87.2661128245915
