"Gross domestic product (GDP), total (2011 PPP $ billions)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","28.2","","48.8","","49.0","","55.2","","58.3","","59.9","","60.8","","62.2","","63.8","","64.5",""
"69","Albania","14.7","","13.2","","16.8","","22.4","","28.9","","29.7","","30.1","","30.4","","30.9","","31.6","","32.7","","33.9","","35.3",""
"82","Algeria","265.3","","268.7","","318.4","","410.2","","464.9","","478.3","","494.4","","508.1","","527.4","","547.2","","565.3","","574.3","","586.4",""
"149","Angola","56.4","","47.5","","63.8","","99.4","","148.6","","153.7","","166.8","","175.1","","183.6","","185.3","","180.5","","180.2","","176.4",""
"74","Antigua and Barbuda","1.1","","1.2","","1.6","","1.8","","1.8","","1.8","","1.8","","1.8","","1.9","","2.0","","2.1","","2.2","","2.3",""
"48","Argentina","371.0","","486.2","","552.2","","607.5","","771.4","","817.7","","809.3","","828.8","","807.9","","830.0","","812.7","","834.4","","813.5",""
"81","Armenia","13.2","","7.0","","9.0","","16.0","","19.3","","20.2","","21.6","","22.4","","23.2","","23.9","","24.0","","25.8","","27.1",""
"6","Australia","489.2","","549.6","","677.9","","794.8","","915.0","","937.5","","974.1","","999.6","","1025.2","","1049.2","","1079.1","","1104.3","","1135.6",""
"20","Austria","240.6","","268.6","","311.2","","339.7","","362.4","","373.0","","375.6","","375.7","","378.1","","382.5","","390.3","","400.2","","411.2",""
"87","Azerbaijan","62.9","","26.3","","37.1","","68.7","","146.8","","144.5","","147.7","","156.3","","160.7","","162.4","","157.4","","157.0","","159.2",""
"60","Bahamas","7.9","","7.9","","9.8","","10.7","","10.5","","10.6","","10.9","","10.9","","10.9","","11.0","","10.8","","11.0","","11.0"," a"
"45","Bahrain","17.4","","24.2","","29.9","","38.4","","50.3","","51.3","","53.3","","56.1","","58.6","","60.3","","62.4","","64.7","","65.9",""
"135","Bangladesh","136.8","","170.7","","216.1","","276.8","","371.7","","395.7","","421.5","","446.8","","473.9","","505.0","","540.9","","580.3","","625.9",""
"56","Barbados","3.7","","3.5","","4.2","","4.4","","4.6","","4.6","","4.6","","4.6","","4.6","","4.7","","4.8","","4.8","","4.8"," a"
"50","Belarus","85.2","","55.7","","75.6","","108.5","","154.3","","162.6","","165.4","","167.0","","169.9","","163.4","","159.3","","163.3","","168.3",""
"17","Belgium","305.5","","330.6","","381.2","","417.1","","447.7","","455.7","","456.8","","457.7","","463.4","","471.5","","478.3","","486.6","","493.6",""
"103","Belize","1.0","","1.3","","1.7","","2.2","","2.5","","2.6","","2.7","","2.7","","2.8","","2.9","","2.9","","2.9","","3.0",""
"163","Benin","7.3","","8.9","","11.4","","13.9","","16.7","","17.2","","18.1","","19.4","","20.6","","21.0","","21.8","","23.1","","24.7",""
"134","Bhutan","1.2","","1.5","","2.0","","3.0","","4.7","","5.0","","5.3","","5.4","","5.7","","6.1","","6.6","","6.9","","7.1",""
"114","Bolivia (Plurinational State of)","25.4","","31.1","","36.8","","42.8","","53.6","","56.4","","59.3","","63.3","","66.8","","70.0","","73.0","","76.1","","79.3",""
"75","Bosnia and Herzegovina","..","","7.0","","23.8","","31.4","","36.2","","36.5","","36.2","","37.1","","37.5","","38.7","","39.9","","41.1","","42.4",""
"94","Botswana","10.9","","13.7","","17.6","","21.0","","26.3","","27.9","","29.1","","32.4","","33.8","","33.2","","34.6","","35.6","","37.2",""
"79","Brazil","1540.9","","1792.3","","1993.1","","2299.0","","2861.2","","2975.0","","3032.1","","3123.2","","3139.0","","3027.7","","2927.6","","2958.7","","2991.8",""
"43","Brunei Darussalam","21.9","","25.6","","27.3","","30.3","","31.3","","32.5","","32.8","","32.1","","31.3","","31.1","","30.4","","30.8","","30.8",""
"52","Bulgaria","81.1","","71.0","","72.2","","95.1","","113.0","","115.2","","115.2","","115.8","","117.9","","122.0","","126.8","","131.7","","135.7",""
"182","Burkina Faso","7.4","","9.0","","12.5","","17.0","","22.2","","23.7","","25.2","","26.7","","27.8","","28.9","","30.6","","32.6","","34.7",""
"185","Burundi","5.6","","4.9","","4.6","","5.1","","6.4","","6.6","","6.9","","7.3","","7.6","","7.3","","7.2","","7.3","","7.4",""
"126","Cabo Verde","0.6","","0.9","","1.7","","2.2","","2.9","","3.0","","3.1","","3.1","","3.1","","3.2","","3.3","","3.4","","3.6",""
"146","Cambodia","..","","11.7","","16.8","","26.1","","36.1","","38.7","","41.5","","44.5","","47.7","","51.1","","54.7","","58.5","","62.9",""
"150","Cameroon","35.4","","32.1","","39.8","","49.3","","58.5","","60.9","","63.7","","67.1","","71.1","","75.1","","78.6","","81.4","","84.5",""
