"Renewable energy consumption (% of total final energy consumption)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015",""
"170","Afghanistan","15.9","","35.1","","54.2","","40.9","","14.8","","11.5","","14.0","","16.3","","19.3","","18.4",""
"69","Albania","25.5","","50.6","","41.4","","36.9","","37.1","","36.0","","40.0","","41.3","","38.7","","38.6",""
"82","Algeria","0.2","","0.4","","0.4","","0.6","","0.3","","0.2","","0.2","","0.1","","0.1","","0.1",""
"36","Andorra","14.3","","14.5","","14.9","","16.9","","19.1","","19.0","","19.2","","19.6","","19.9","","19.7",""
"149","Angola","72.3","","73.9","","74.6","","71.0","","54.2","","52.7","","52.2","","50.7","","50.8","","49.6",""
"74","Antigua and Barbuda","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0",""
"48","Argentina","8.9","","11.2","","11.1","","9.0","","9.0","","10.1","","9.9","","10.2","","10.9","","10.0",""
"81","Armenia","2.1","","9.3","","7.2","","6.5","","9.4","","8.0","","6.6","","6.8","","7.7","","15.8",""
"6","Australia","8.0","","8.2","","8.4","","6.7","","8.1","","8.3","","8.2","","9.1","","9.3","","9.2",""
"20","Austria","25.1","","25.6","","26.4","","24.2","","30.7","","31.0","","33.4","","34.7","","35.4","","34.4",""
"87","Azerbaijan","0.7","","1.4","","2.1","","3.4","","4.5","","3.6","","2.8","","2.5","","2.1","","2.3",""
"60","Bahamas","0.0","","0.0","","0.0","","1.8","","1.7","","1.4","","1.2","","0.8","","1.1","","1.2",""
"45","Bahrain","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0",""
"135","Bangladesh","71.7","","63.8","","59.0","","50.8","","41.1","","39.4","","38.6","","38.8","","37.6","","34.7",""
"56","Barbados","18.9","","16.0","","13.6","","9.9","","9.0","","4.6","","4.1","","3.4","","3.2","","2.8",""
"50","Belarus","0.8","","2.5","","5.0","","6.2","","7.0","","7.4","","7.2","","7.0","","6.6","","6.8",""
"17","Belgium","1.3","","1.3","","1.4","","2.5","","5.8","","6.6","","7.8","","8.1","","9.1","","9.2",""
"103","Belize","38.0","","34.9","","34.6","","31.0","","33.7","","31.0","","37.1","","34.7","","36.9","","35.0",""
"163","Benin","93.7","","94.8","","70.3","","59.2","","48.1","","49.5","","51.1","","52.7","","52.5","","50.9",""
"134","Bhutan","95.9","","94.4","","91.4","","91.7","","90.9","","89.6","","88.0","","87.0","","87.0","","86.9",""
"114","Bolivia (Plurinational State of)","37.4","","33.5","","27.4","","23.5","","20.1","","19.3","","17.9","","18.6","","16.8","","17.5",""
"75","Bosnia and Herzegovina","7.3","","33.2","","19.4","","19.7","","19.6","","14.2","","15.3","","19.5","","41.7","","40.8",""
"94","Botswana","47.6","","47.2","","36.6","","30.8","","30.2","","30.0","","29.7","","29.2","","28.8","","28.9",""
"79","Brazil","49.9","","46.1","","42.8","","46.3","","47.0","","45.5","","43.6","","42.4","","41.8","","43.8",""
"43","Brunei Darussalam","0.7","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0",""
"52","Bulgaria","1.9","","3.1","","8.0","","9.9","","14.4","","13.3","","15.8","","18.2","","17.0","","17.6",""
"182","Burkina Faso","93.2","","93.1","","85.4","","86.5","","81.5","","80.6","","77.2","","75.4","","75.2","","74.2",""
"185","Burundi","95.2","","95.1","","93.2","","97.3","","96.8","","96.6","","94.0","","94.1","","94.6","","95.7",""
